segment_id,day,image_path,metadata_path,lighting_preset,road_health_state,pothole_sizing_spectrum,pothole_density_per_100m2,pothole_moisture_state,camera_preset,capture_timestamp,sidecar_valid,image_valid,capture_count,notes
SEG_001,1,env/output/temporal_segments/SEG_001/day_01.png,env/output/temporal_segments/SEG_001/day_01_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,2.8,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T17:38:15.573265+05:30,True,True,1,[ROBUSTNESS_ONLY] OK
SEG_002,1,env/output/temporal_segments/SEG_002/day_01.png,env/output/temporal_segments/SEG_002/day_01_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Multi-Scale Organic (20cm - 1.6m),10.0,100% Dry Crushed Aggregate,🔍 Low-Angle Pothole Inspection (30° Close-Up),2026-09-09T17:47:49.304979+05:30,True,True,2,[TEMPORAL_CANDIDATE] OK
SEG_003,1,env/output/temporal_segments/SEG_003/day_01.png,env/output/temporal_segments/SEG_003/day_01_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,7.3,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:53:05.907215+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_004,1,env/output/temporal_segments/SEG_004/day_01.png,env/output/temporal_segments/SEG_004/day_01_metadata.json,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T17:57:56.619162+05:30,True,True,2,[TEMPORAL_CANDIDATE] OK
SEG_001,2,env/output/temporal_segments/SEG_001/day_02.png,env/output/temporal_segments/SEG_001/day_02_metadata.json,Clear Noon (70° Sun),Critical Hazard (Grade F),Micro Pitting & Hairlines,3.8,Mixed Wet / Dry Cavities,💧 Waterlogged Pothole Macro View,2026-09-09T17:39:17.709996+05:30,True,True,1,[ROBUSTNESS_ONLY] OK
SEG_002,2,env/output/temporal_segments/SEG_002/day_02.png,env/output/temporal_segments/SEG_002/day_02_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Multi-Scale Organic (20cm - 1.6m),10.0,100% Dry Crushed Aggregate,🔍 Low-Angle Pothole Inspection (30° Close-Up),2026-09-09T17:47:54.708906+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_003,2,env/output/temporal_segments/SEG_003/day_02.png,env/output/temporal_segments/SEG_003/day_02_metadata.json,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,7.3,Mixed Wet / Dry Cavities,🌄 Highway Curve Vantage Overlook,2026-09-09T17:53:27.986432+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_004,2,env/output/temporal_segments/SEG_004/day_02.png,env/output/temporal_segments/SEG_004/day_02_metadata.json,Golden Hour Sunset,Minor Wear (Grade B),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T17:58:17.582234+05:30,True,True,1,[TEMPORAL_CANDIDATE] OK
SEG_001,3,env/output/temporal_segments/SEG_001/day_03.png,env/output/temporal_segments/SEG_001/day_03_metadata.json,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),4.8,100% Dry Crushed Aggregate,🌄 Highway Curve Vantage Overlook,2026-09-09T17:40:10.878442+05:30,True,True,2,[TEMPORAL_CANDIDATE] OK
SEG_002,3,env/output/temporal_segments/SEG_002/day_03.png,env/output/temporal_segments/SEG_002/day_03_metadata.json,Clear Noon (70° Sun),Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),2026-09-09T17:48:44.661936+05:30,True,True,4,[ROBUSTNESS_ONLY] OK
