item_number,metric_or_claim,old_value_or_claim,corrected_value_or_claim,supporting_artifact,reason_for_correction,scientific_conclusion_changed
1,Trailing Python code in PHASE1B_VALIDATION_REPORT.md,"Appended snippet: with open(md_path, 'w')... if __name__ == '__main__': pass",Clean Markdown document terminating at Summary of Compliance section,reports/phase1b/PHASE1B_VALIDATION_REPORT.md,File generation script accidentally leaked Python file-writing boilerplate into Markdown text,NO (Syntactic hygiene fix)
2,Reliability rejection failure rate at 80% coverage,8.85% attributed to pure Model B reliability rejection in canonical metrics,Pure Model B T1 rejection = 9.38% (36/384 accepted failures); 8.85% is deprecated historical/fixed-threshold value,artifacts/phase1b/risk_coverage.csv,Pure rank-ordered percentile selection on Target T1 gives 9.38%; 8.85% originated from earlier fixed threshold p>=0.7629,NO (Clarifies exact algorithm; both achieve ~48-50% error reduction)
2,Reliability rejection failure rate at 50% coverage,2.08% attributed to pure Model B reliability rejection in canonical metrics,Pure Model B T1 rejection = 6.25% (15/240 accepted failures); 2.08% belongs strictly to historical Phase 12 gated table (5/240),artifacts/phase1b/risk_coverage.csv,Pure Model B out-of-fold percentile ranking on Target T1 isolates 82.56% of errors leaving 6.25% accepted error; 2.08% cannot be reproduced by pure Model B ranking,"YES (Pure Model B selective prediction error at 50% coverage is 6.25%, not 2.08%)"
3,DINOv2 Reference Bank vs Evaluated Data near-duplicates,Reported as 0 in LEAKAGE_AUDIT.md while China Train vs Val reported 56 pHash pairs,Identified as potential dependency: 56 pairs connect 46 training images to 24 validation images across 16 components,artifacts/phase1b/group_sensitive_metrics.csv,"DINOv2 reference bank consists of the 1,921 China Train images. The 56 cross-split pairs apply identically to the reference bank source data.","NO (Excluding the 24 connected validation images shifts YOLO F1 from 0.7104 to 0.7118 (+0.0014), demonstrating robust independence)"
4,DINOv2 Domain Gate Warning Threshold (p95),Canonical p95 = 0.3804 vs exact reference bank p95 = 0.3503,Exact LOO 20-NN cosine distance p95 = 0.3503 on train embeddings; 0.3804 was a conservative warning threshold hardcoded in Phase 12,artifacts/phase1b/domain_threshold_sweep.csv,"Documented exact mathematical formulation (LOO, 20-NN cosine distance, L2 normalization, linear interpolation on N=1,921)",NO (Both thresholds quarantine 100% of Indian dashcam images)
4,DINOv2 Domain Gate Operational Threshold (p99),Canonical p99 = 0.4491 vs exact reference bank p99 = 0.4558,Canonical p99 = 0.4491 (from domain_reference_metadata.json) vs exact frozen npz p99 = 0.4558; both selected strictly on familiar train data,artifacts/phase1b/domain_threshold_sweep.csv,Slight extraction serialization difference between Phase 8 metadata (0.4491) and Phase 10 npz archive (0.4558); India data was never used for tuning,"NO (Under either threshold, India shift detection is 100.0% and China false warnings remain <= 1.46%)"
5,Domain lighting prose vs table numbers,"Prose cited 0.1873 vs 0.1842, while table showed 0.1771 vs 0.1912","Prose aligned exactly with table: Low Brightness mean = 0.1771, High Brightness mean = 0.1912",reports/phase1b/DOMAIN_GATE_ANALYSIS.md,Earlier draft cited preliminary mean distances; table contained exact audited values from china_validation_ablation_master.csv,NO (Confirms lighting invariance across median split)
6,XGBoost statistical uncertainty resampling protocol,"Row-level independent bootstrap on N=24 test rows (95% CI: [0.5866, 0.9135])","Site-level cluster bootstrap resampling 6 disjoint test sites with replacement (95% CI: [0.2120, 0.8943], MAE: [0.0703, 0.1159])",artifacts/phase1b/confidence_intervals.csv,Row-level resampling underestimates uncertainty due to intra-site longitudinal correlation; site-level bootstrap provides honest cluster-adjusted bounds,"YES (Wider, more honest confidence interval reflecting small test site sample size N=6)"
6,Unverified p-value claim in statistical uncertainty report,Claimed 'error reduction is statistically significant (p < 10^-6)',Removed unverified p-value; reported exact non-parametric bootstrap intervals and noted absence of drone flight clustering metadata,reports/phase1b/STATISTICAL_UNCERTAINTY.md,No documented formal hypothesis test supported p < 10^-6; fine-grained sequence metadata is unverified in RDD2022,NO (Scientific finding of error reduction stands on empirical risk-coverage curve)
7,Longitudinal forecasting baseline performance,Presented XGBoost as primary superior model without emphasizing baseline dominance,"Explicitly reports that Persistence (R2=0.8551, MAE=0.0754) and OLS (R2=0.8441, MAE=0.0832) outperform XGBoost (R2=0.8055, MAE=0.0924)",artifacts/phase1b/forecast_baseline_comparison.csv,Pavement deterioration in LTPP held-out test is heavily auto-correlated; complex tree model overfits compared to simple physical persistence,YES (Critical negative empirical finding preserved: persistence baseline outperforms XGBoost)
7,Forecasting prediction horizon duration,Reports claimed '30–90 day forecasting horizons',"Observed evaluation horizons in LTPP test pairs span 240 to 720 days (mean 447.5 days, roughly 345–650 days per site)",artifacts/phase1b/forecast_baseline_comparison.csv,30–90 days was an arbitrary synthetic evaluation scenario setting; actual historical LTPP physical survey intervals are 1–2 years,"YES (Model predicts multi-month to multi-year progression, not rapid sub-quarter deterioration)"
7,XGBoost current_severity feature importance,Historical report claimed current_severity importance was 92.6%,Audited scenario model v2 current_severity importance is 75.53% (gain/attribute) / 48.13% (weight),xgboost/config/scenario_model_v2.json,92.6% came from an earlier unregularized model_v1; scenario_model_v2 incorporates scenario covariates reducing dominance to 75.53%,"NO (current_severity remains dominant predictor, reflecting physical persistence)"
8,Temporal Subsystem Experiment A capture provenance,Described as 'total_physical_captures: 40' / real-world captures,Classified strictly as CARLA / Unreal Engine synthetic simulator captures generated via env/scripts/rs_inspection_capture.py,reports/phase1b/TEMPORAL_FORECAST_AUDIT.md,Experiment A captures (SEG_001–SEG_004) were captured in Unreal Engine CARLA simulation with configured weather and surface defect injections,YES (Cannot claim simulator-configured progression as independently observed real pavement deterioration)
9,YOLO runtime latency reconciliation (2.15 ms vs 3.62 ms),2.15 ms in ablation table conflicted with 3.62 ms canonical latency,"Explicitly distinguished: 2.15 ms is GPU inference-only (RTX 5060, batch=1, CUDA events); 3.62 ms is end-to-end benchmark (preprocessing + forward + NMS)",artifacts/phase1b/runtime_benchmarks.csv,Different benchmarking protocols: raw model execution vs complete deployment pipeline with Ultralytics NMS and image loading,NO (Both numbers are verified under their explicit stated protocols)
10,Decision policy safety language,"'SAFETY PROVEN', 'guarantees zero unsafe leakage'",'zero unsafe automated accepts were observed on the evaluated benchmark',reports/phase1b/POLICY_ABLATION.md,Scientific humility and regulatory precision: empirical zero failure on 300 test images does not constitute a mathematical or universal guarantee,NO (Reflects honest empirical framing without weakening benchmark result)
11,Controlled corruption claims at frame level,Only condition-level aggregate rates reported in corruption_robustness.csv,"Full frame-level accounting: 50 frames per condition, individual frame failure & routing tracking, confirmed 0 unsafe accepts at frame level",artifacts/phase1b/corruption_robustness.csv,"Demonstrates that zero unsafe accepts was verified on all 1,100 individual frame evaluations (50 frames x 22 conditions), not just aggregate averages",NO (Strengthens empirical basis of corruption robustness claim)
