record_identifier,dataset_and_split,ground_truth,prediction,confidence,domain_score,reliability_score,policy_decision,failure_category,evidence_based_explanation
China_Drone_000375_det_0,RDD2022_China_Drone_Val,2 defect boxes,"Box [278.5, 440.8, 512.0, 512.0]",0.7023,0.1372,0.9202,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7023) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_000584_det_0,RDD2022_China_Drone_Val,2 defect boxes,"Box [0.4, 43.1, 177.7, 70.4]",0.713,0.2145,0.6421,HUMAN_REVIEW,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7130) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_000926_det_1,RDD2022_China_Drone_Val,1 defect boxes,"Box [197.0, 287.9, 474.3, 512.0]",0.8395,0.2345,0.988,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.8395) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_000981_det_0,RDD2022_China_Drone_Val,4 defect boxes,"Box [137.7, 0.0, 163.1, 168.5]",0.737,0.1652,0.3416,HUMAN_REVIEW,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7370) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_000996_det_0,RDD2022_China_Drone_Val,1 defect boxes,"Box [193.9, 54.1, 354.2, 226.4]",0.8487,0.2015,0.9269,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.8487) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_001114_det_0,RDD2022_China_Drone_Val,2 defect boxes,"Box [77.0, 329.2, 511.7, 500.3]",0.7775,0.0626,0.9669,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7775) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_001452_det_0,RDD2022_China_Drone_Val,1 defect boxes,"Box [223.8, 125.6, 508.4, 194.4]",0.7281,0.1307,0.9369,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7281) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_001759_det_0,RDD2022_China_Drone_Val,2 defect boxes,"Box [155.1, 269.8, 180.0, 505.2]",0.7123,0.1112,0.7932,HUMAN_REVIEW,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7123) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_001777_det_0,RDD2022_China_Drone_Val,1 defect boxes,"Box [447.8, 433.6, 512.0, 491.8]",0.7932,0.1618,0.9231,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7932) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_001861_det_2,RDD2022_China_Drone_Val,3 defect boxes,"Box [0.0, 412.5, 172.4, 512.0]",0.7793,0.2155,0.8265,HUMAN_REVIEW,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7793) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_002020_det_0,RDD2022_China_Drone_Val,1 defect boxes,"Box [384.6, 385.4, 506.2, 419.6]",0.7717,0.1488,0.7784,HUMAN_REVIEW,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.7717) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
China_Drone_002027_det_0,RDD2022_China_Drone_Val,2 defect boxes,"Box [174.0, 0.4, 355.5, 354.9]",0.9012,0.1557,0.9774,AUTO_ACCEPT,HIGH_CONFIDENCE_FALSE_POSITIVE,"YOLO outputs high confidence (0.9012) with zero ground-truth spatial overlap (IoU < 0.50); corresponds to road shoulder texture, shadow, or longitudinal pavement seam."
