metric_name,china_in_domain,india_cross_domain,absolute_drop,relative_drop_pct,evaluation_level,formula,canonical_source_file,interpretation_note
precision,0.6568,0.0964,0.5604,85.32,Detection-level aggregate,(China - India) / China * 100,cross_domain/tables/table_in_vs_cross_domain.csv,Severe cross-domain degradation due to roadside texture clutter and forward dashcam view (older JSON recorded 0.0631)
recall,0.7736,0.0123,0.7613,98.41,Detection-level aggregate,(China - India) / China * 100,cross_domain/tables/table_in_vs_cross_domain.csv,Recall collapses under oblique forward dashcam perspective vs aerial UAV view (older JSON recorded 0.0138)
f1_score,0.7104,0.0218,0.6886,96.94,Detection-level aggregate,(China - India) / China * 100,cross_domain/tables/table_cross_domain_metrics.csv,Canonical India F1 is 0.0218 per table_cross_domain_metrics.csv; older JSON cited 0.0226 (-96.82% degradation)
mean_matched_iou,0.8007,0.7678,0.0329,4.11,Matched pair-level,(China - India) / China * 100,cross_domain/tables/table_in_vs_cross_domain.csv,"Among the few matched true positive detections (N=8), localization quality remains moderate (0.7678 IoU)"
predictions_per_image,1.8208,0.2767,1.5441,84.80,Image-level mean,(China - India) / China * 100,cross_domain/results/cross_domain_reliability_dataset.csv,Detector outputs far fewer proposals (83 detections across 300 images) under unfamiliar domain conditions
false_positives_per_image,0.6250,0.2500,0.3750,60.00,Image-level mean,(China - India) / China * 100,cross_domain/results/cross_domain_reliability_dataset.csv,"Lower FP/image reflects general under-firing, yet 75 of 83 total predictions (90.36%) are false alarms"
false_negatives_per_image,0.3500,2.1467,-1.7967,-513.33,Image-level mean,(China - India) / China * 100,cross_domain/results/cross_domain_reliability_dataset.csv,Severe increase in unobserved distress: 644 of 652 ground-truth defects are missed entirely
correct_detection_rate,0.7736,0.0123,0.7613,98.41,Annotation-level capture,TP / Total GT Annotations,cross_domain/results/cross_domain_reliability_dataset.csv,Proportion of physical road defects successfully localized collapses from 77.36% to 1.23%
zero_correct_detection_image_rate,0.1188,0.9733,-0.8546,-719.53,Image-level prevalence,Images with TP == 0 / Total Images,integration/PHASE14_SYSTEM_CONSISTENCY_AUDIT.md,"Under Target T0, 292 out of 300 India images (97.33%) yield exactly zero correct defect detections"
strict_failure_image_rate_t1,0.1792,0.9767,-0.7975,-445.09,Image-level prevalence,Images with F1 < 0.50 / Total Images,integration/PHASE14_SYSTEM_CONSISTENCY_AUDIT.md,"Under Target T1, 293 out of 300 India images (97.67%) fail quality criteria (India_000511 has F1=0.40)"
pct_images_with_preds_but_zero_tp_overall,0.0542,0.1900,-0.1358,-250.77,Image-level proportion (all images),Images with (Pred > 0 and TP == 0) / Total Images,cross_domain/results/cross_domain_reliability_dataset.csv,57 of 300 India images produce confident predictions that are 100% false alarms (vs 26 of 480 in China)
pct_images_with_preds_but_zero_tp_conditional,0.0573,0.8769,-0.8197,-1431.13,Image-level proportion (images with detections),Images with (Pred > 0 and TP == 0) / Images with Pred > 0,cross_domain/results/cross_domain_reliability_dataset.csv,"When YOLO produces at least one box on India, 87.69% of the time (57/65 images) every detection is false"
mean_confidence_on_detected_images,0.5468,0.3811,0.1657,30.30,Image-level mean,(China - India) / China * 100,cross_domain/results/cross_domain_reliability_dataset.csv,"Substantial confidence distribution shift downward (mean 0.5468 -> 0.3811, max conf mean 0.6156 -> 0.4079)"
mean_inference_latency_ms,3.62,4.68,-1.06,-29.28,Hardware timing,(China - India) / China * 100,cross_domain/tables/table_cross_domain_metrics.csv,Latency increases slightly from 3.62 ms (512x512) to 4.68 ms due to 720x720 native dashcam resolution scaling
