metric_name,value,unit,sample_size,evaluation_level,threshold_applied,formula_or_definition,canonical_source_file,notes
total_evaluated_images,480,images,N=480 images,Image-level,N/A,Count of evaluated validation images in RDD2022 China_Drone split,benchmark/final_comparison/benchmark_summary.json,"Held-out validation partition (100% site/image disjoint from 1,921 training images)"
ground_truth_boxes,742,annotations,N=742 bounding boxes across 479 images,Annotation-level,N/A,"Total labeled road defect bounding boxes (D00, D10, D20, D40, Repair)",benchmark/final_comparison/benchmark_summary.json,479 images contain distress; 1 pristine control image contains 0 defects
total_predictions,874,detections,N=874 detections across 480 images,Detection-level,conf >= 0.25,Total bounding boxes output by YOLOv8n detector,benchmark/final_comparison/benchmark_summary.json,Inference run at 512x512 resolution using best.pt checkpoint
true_positives,574,detections,N=574 matched pairs,Detection-level,"IoU >= 0.50, conf >= 0.25",Greedy 1-to-1 bipartite matched prediction-ground truth box pairs with IoU >= 0.50,benchmark/final_comparison/benchmark_summary.json,Canonical in-domain Phase-5 benchmark primary matching outcome
false_positives,300,detections,N=300 unmatched detections,Detection-level,"IoU >= 0.50, conf >= 0.25",Predictions lacking an unmatched ground truth box with IoU >= 0.50 (Total Pred - TP),benchmark/final_comparison/benchmark_summary.json,874 predictions - 574 TP = 300 FP
false_negatives,168,annotations,N=168 missed annotations,Annotation-level,"IoU >= 0.50, conf >= 0.25",Ground truth boxes lacking a matched prediction with IoU >= 0.50 (Total GT - TP),benchmark/final_comparison/benchmark_summary.json,742 GT - 574 TP = 168 FN
precision,0.6568,ratio,N=874 detections,Detection-level aggregate,"IoU >= 0.50, conf >= 0.25",TP / (TP + FP) = 574 / 874,integration/CANONICAL_RESEARCH_METRICS.json,High in-domain precision demonstrates strong baseline localization
recall,0.7736,ratio,N=742 ground truth boxes,Detection-level aggregate,"IoU >= 0.50, conf >= 0.25",TP / (TP + FN) = 574 / 742,integration/CANONICAL_RESEARCH_METRICS.json,Captures over 77% of labeled distress instances in-domain
f1_score,0.7104,score,"N=480 images, 742 GT, 874 preds",Detection-level harmonic mean,"IoU >= 0.50, conf >= 0.25",2 * (Precision * Recall) / (Precision + Recall),integration/CANONICAL_RESEARCH_METRICS.json,Canonical in-domain YOLOv8n performance baseline
mean_matched_iou,0.8007,IoU ratio,N=574 true positive pairs,Matched pair-level,IoU >= 0.50,Mean IoU calculated strictly across matched True Positive detection-GT pairs,benchmark/final_comparison/FINAL_PERCEPTION_TABLE.csv,"Median matched IoU is 0.8154, indicating tight bounding box boundaries"
predictions_per_image,1.8208,predictions/image,N=480 images,Image-level mean,conf >= 0.25,Total Predictions / Total Images = 874 / 480,benchmark/final_comparison/benchmark_summary.json,Corresponds to average density of 1.5458 GT boxes/image
false_positives_per_image,0.6250,FP/image,N=480 images,Image-level mean,"IoU >= 0.50, conf >= 0.25",Total False Positives / Total Images = 300 / 480,benchmark/final_comparison/benchmark_summary.json,Modest false alarm rate under native UAV survey geometry
false_negatives_per_image,0.3500,FN/image,N=480 images,Image-level mean,"IoU >= 0.50, conf >= 0.25",Total False Negatives / Total Images = 168 / 480,benchmark/final_comparison/benchmark_summary.json,Miss rate is ~0.35 unobserved defects per survey frame
inference_latency_ms,3.62,milliseconds,N=480 images,Per-image timing,"512x512 input, batch=1",Mean end-to-end forward inference time per image on RTX 5060 Laptop GPU,integration/CANONICAL_RESEARCH_METRICS.json,Median latency is 3.51 ms on PyTorch 2.13.0+cu130 CUDA 12.8
inference_fps,276.24,frames per second,N=480 images,Throughput,"512x512 input, batch=1",1000 / mean_latency_ms = 1000 / 3.620,integration/CANONICAL_RESEARCH_METRICS.json,Recorded as 276.33 FPS in FINAL_PERCEPTION_TABLE.csv; both confirm high-speed edge capability
map_50,0.6774,mAP,"N=480 images, 5 semantic classes",Dataset-level multiclass,IoU 0.50,Standard Ultralytics multiclass mean Average Precision at IoU 0.50,integration/CANONICAL_RESEARCH_METRICS.json,"D00: 0.3435, D10: 0.4045, D20: 0.2046, D40: 0.2591, Repair: 0.5867"
map_50_95,0.4068,mAP,"N=480 images, 5 semantic classes",Dataset-level multiclass,IoU 0.50:0.95 (step 0.05),Standard Ultralytics multiclass COCO-style mAP averaged across IoU 0.50 to 0.95,integration/CANONICAL_RESEARCH_METRICS.json,Demonstrates robust localization across diverse defect classes in-domain
