segment_id,day,image_exists,metadata_exists,settings_match,image_valid,capture_count,status,notes
SEG_001,1,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (density: expected 0.5, got 2.8; pothole_moisture_state: expected '100% Dry Crushed Aggregate', got 'Mixed Wet / Dry Cavities')"
SEG_002,1,True,True,False,True,2,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Overcast Day', got 'Clear Noon (70° Sun)'; pothole_sizing_spectrum: expected 'Micro Pitting & Hairlines', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 0.5, got 10.0; pothole_moisture_state: expected 'Mixed Wet / Dry Cavities', got '100% Dry Crushed Aggregate'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🔍 Low-Angle Pothole Inspection (30° Close-Up)') | DUPLICATE_HISTORY (2 captures logged)"
SEG_003,1,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; density: expected 0.5, got 7.3; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_004,1,True,True,False,True,2,SETTING_MISMATCH; DUPLICATE_HISTORY,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Pristine (Grade A)', got 'Moderate Deterioration (Grade C)'; pothole_sizing_spectrum: expected 'Micro Pitting & Hairlines', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 0.5, got 3.5) | DUPLICATE_HISTORY (2 captures logged)"
SEG_005,1,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_006,1,False,False,False,False,0,NOT YET CAPTURED,OK
SEG_001,2,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Golden Hour Sunset', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Minor Wear (Grade B)', got 'Critical Hazard (Grade F)'; density: expected 1.5, got 3.8; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '💧 Waterlogged Pothole Macro View')"
SEG_002,2,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Minor Wear (Grade B)', got 'Pristine (Grade A)'; pothole_sizing_spectrum: expected 'Micro Pitting & Hairlines', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 1.5, got 10.0; pothole_moisture_state: expected 'Mixed Wet / Dry Cavities', got '100% Dry Crushed Aggregate'; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🔍 Low-Angle Pothole Inspection (30° Close-Up)')"
SEG_003,2,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Clear Noon (70° Sun)'; road_health_state: expected 'Minor Wear (Grade B)', got 'Pristine (Grade A)'; density: expected 1.5, got 7.3; camera_preset: expected '🔭 Overhead Drone Survey (SAM 2 Top-Down)', got '🌄 Highway Curve Vantage Overlook')"
SEG_004,2,True,True,False,True,1,SETTING_MISMATCH,"SETTING_MISMATCH (lighting_preset: expected 'Dense Atmospheric Fog', got 'Golden Hour Sunset'; pothole_sizing_spectrum: expected 'Micro Pitting & Hairlines', got 'Multi-Scale Organic (20cm - 1.6m)'; density: expected 1.5, got 3.5)"
